11:52:05.512 |  get_toc.py  | Line 199 | TRACE ➤ Fetching TOC...
11:52:05.513 |  get_toc.py  | Line 61 | SUCCESS ➤ Using cached TOC HTML
11:52:05.564 |  get_toc.py  | Line 93 | TRACE ➤ Parsing 189 chapter rows...
11:52:05.565 |  get_toc.py  | Line 110 | DEBUG ➤ Row 1:1 text: `Chapter 1 - Another Monday morning`
11:52:05.566 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1: Another Monday morning
11:52:05.567 |  get_toc.py  | Line 110 | DEBUG ➤ Row 2:1 text: `Chapter 2 - Introduction`
11:52:05.567 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 2: Introduction
11:52:05.567 |  get_toc.py  | Line 110 | DEBUG ➤ Row 3:1 text: `Chapter 3 - The tutorial commences`
11:52:05.568 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 3: The tutorial commences
11:52:05.568 |  get_toc.py  | Line 110 | DEBUG ➤ Row 4:1 text: `Chapter 4 - First battle`
11:52:05.568 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 4: First battle
11:52:05.568 |  get_toc.py  | Line 110 | DEBUG ➤ Row 5:1 text: `Chapter 5 - Big pig`
11:52:05.569 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 5: Big pig
11:52:05.569 |  get_toc.py  | Line 110 | DEBUG ➤ Row 6:1 text: `Chapter 6 - Questioning`
11:52:05.569 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 6: Questioning
11:52:05.569 |  get_toc.py  | Line 110 | DEBUG ➤ Row 7:1 text: `Chapter 7 - Training & rest`
11:52:05.570 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 7: Training & rest
11:52:05.570 |  get_toc.py  | Line 110 | DEBUG ➤ Row 8:1 text: `Chapter 8 - A wonderful night`
11:52:05.570 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 8: A wonderful night
11:52:05.570 |  get_toc.py  | Line 110 | DEBUG ➤ Row 9:1 text: `Keep reading/listening on Amazon's Kindle, Kindle
                                                                    Unlimited and Audible!`
11:52:05.570 |  get_toc.py  | Line 113 | WARNING ➤ Could not parse row 9: Keep reading/listening on Amazon's Kindle, Kindle
                                                                    Unlimited and Audible!
11:52:05.572 |  get_toc.py  | Line 110 | DEBUG ➤ Row 10:1 text: `Webtoon Is Out!`
11:52:05.572 |  get_toc.py  | Line 113 | WARNING ➤ Could not parse row 10: Webtoon Is Out!
11:52:05.573 |  get_toc.py  | Line 110 | DEBUG ➤ Row 11:1 text: `Chapter 986 - A False God & Proactive Measures -
                                                                    START OF BOOK 14`
11:52:05.574 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 986: A False God & Proactive Measures -
11:52:05.574 |  get_toc.py  | Line 110 | DEBUG ➤ Row 12:1 text: `Chapter 987 - Discussing the Future of the Milky Way
                                                                    Galaxy`
11:52:05.574 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 987: Discussing the Future of the Milky Way
11:52:05.574 |  get_toc.py  | Line 110 | DEBUG ➤ Row 13:1 text: `Chapter 988 - The Most Important Question...`
11:52:05.574 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 988: The Most Important Question...
11:52:05.574 |  get_toc.py  | Line 110 | DEBUG ➤ Row 14:1 text: `Chapter 989 - To Lock Down One's Enemy`
11:52:05.575 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 989: To Lock Down One's Enemy
